probe_id,blast_best_hit,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,,,
AF014808,Solyc03g096390.2.1,100,70,0,0,1,70,854,923,1.00E-30,130,Amino acid permease-like protein proline transporter-like protein,"IPR013057, Amino acid transporter, transmembrane",GO:0015193
AF029349,Solyc04g082030.1.1,100,70,0,0,1,70,696,765,1.00E-30,130,Ornithine decarboxylase,"IPR002433, Ornithine decarboxylase","GO:0003824,GO:0004586,GO:0006596"
AF029984,Solyc12g005950.1.1,100,70,0,0,1,70,351,420,1.00E-30,130,WD-repeat protein,"IPR020472, G-protein beta WD-40 repeat, region",GO:0008270
AF096261,Solyc10g081510.1.1,98.57,70,1,0,1,70,2101,2170,5.00E-29,124,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase,"IPR006276, 5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase","GO:0008652,GO:0008705,GO:0009086"
AF122901,Solyc05g053410.2.1,100,70,0,0,1,70,3268,3337,1.00E-30,130,Phytochrome B2,,"GO:0005515,GO:0005524,GO:0006355,GO:0007165,GO:0008152,GO:0009883,GO:0016020,GO:0018106,GO:0018298,GO:0042802,GO:0045449"
AF130423,Solyc04g074180.2.1,100,70,0,0,1,70,1826,1895,1.00E-30,130,Cryptochrome 1a,,"GO:0006281,GO:0042803"
AF130425,Solyc09g090100.2.1,100,70,0,0,1,70,1620,1689,1.00E-30,130,Cryptochrome 2,,"GO:0006281,GO:0042803"
AF143812,Solyc01g067890.2.1,100,70,0,0,1,70,730,799,1.00E-30,130,1-deoxy-D-xylulose 5-phosphate synthase 1,"IPR005474, Transketolase, N-terminal IPR005474, Transketolase, central region IPR005474, Deoxyxylulose-5-phosphate synthase","GO:0008152,GO:0016114"
AF178571,Solyc02g071260.2.1,100,70,0,0,1,70,3197,3266,1.00E-30,130,Phytochrome E,,"GO:0000160,GO:0005515,GO:0005524,GO:0006355,GO:0007165,GO:0016020,GO:0018106,GO:0018298,GO:0042802,GO:0045449"
AF193439,Solyc07g056480.2.1,98.51,67,0,1,1,67,725,790,9.00E-27,117,Glutathione S-transferase-like protein,"IPR004046, Glutathione S-transferase, C-terminal","GO:0004364,GO:0043295"
AF195507,Solyc01g097810.2.1,100,70,0,0,1,70,1328,1397,1.00E-30,130,Zeta-carotene desaturase,,GO:0055114
AF254793,Solyc06g074240.1.1,100,70,0,0,1,70,1102,1171,1.00E-30,130,Chromoplast-specific lycopene beta-cyclase,,GO:0016117
